hs6,subgroup,broad_group,bloc,volatility_weighted,volatility_se,correlation_weighted,correlation_se,num_countries
250410,Natural Graphite,Graphite,Adversary,2.2629898531591137,3.872158127327889,0.09152212120147576,0.10569242615729933,17
250410,Natural Graphite,Graphite,Intermediary,6.569517142138664,5.07752782915696,-0.20735410915468555,0.06609986674689382,21
280461,Polysilicon,Polysilicon,Adversary,5.076013241930306,3.407650393425813,-0.6355304355278768,0.06064387150416133,13
280461,Polysilicon,Polysilicon,Intermediary,13.506907663310425,4.008970467054249,-0.523417251804504,0.11111850053604899,11
280530,Rare Earths (Metal),Rare Earths,Adversary,24.11591708438243,33.4336443501814,-0.2578054284778249,0.1335804343315835,12
280530,Rare Earths (Metal),Rare Earths,Intermediary,7.59510322332993,7.784707227161487,-0.505280138048406,0.08185866162598532,10
282560,Ga/Ge Compounds,Gallium/Germanium,Adversary,2.3120088649137314,1.4306813328365546,-0.6612364741514912,0.0520202622600765,15
282560,Ga/Ge Compounds,Gallium/Germanium,Intermediary,7.450942114753148,3.074461734962502,-0.6413715491752583,0.04523712493341719,13
282590,Ga/Ge Compounds,Gallium/Germanium,Adversary,1.6366319607758095,0.8694849490183748,0.1291346245433744,0.10514150666742529,14
282590,Ga/Ge Compounds,Gallium/Germanium,Intermediary,25.005844166554773,19.235928630749235,-0.5970462558339319,0.11220898176174803,15
284690,Rare Earths (Oxide),Rare Earths,Adversary,3.5893280225910194,3.188961669316646,-0.49930402829265425,0.03380112465721476,17
284690,Rare Earths (Oxide),Rare Earths,Intermediary,10.889325301390372,6.178934210097971,-0.5497197554470273,0.09871240369151661,19
285000,Ga/Ge Compounds,Gallium/Germanium,Adversary,18.366828132431845,9.535598162678694,-0.7631849134529097,0.07718634608928146,17
285000,Ga/Ge Compounds,Gallium/Germanium,Intermediary,74.07470655071548,36.03244738529622,-0.7881810842600776,0.04691601862053586,19
285390,Ga/Ge Compounds,Gallium/Germanium,Adversary,1.520283325679183,11.996652413770994,-0.08367536779777757,0.12143982702343757,15
285390,Ga/Ge Compounds,Gallium/Germanium,Intermediary,427.6408977112249,455.10103531710854,-0.5716728028510398,0.04826311909401147,17
380110,Artificial Graphite,Graphite,Adversary,15.449311336921712,9.350151390881674,-0.6476362457696503,0.05213405858371719,18
380110,Artificial Graphite,Graphite,Intermediary,1.6861878670780728,1.1013514425424238,-0.5002967444016547,0.10017912690383929,20
811292,Unwrought Ga/Ge,Gallium/Germanium,Adversary,1.1046053246864485,0.28657656721773744,-0.08593970005633993,0.1325586272701182,15
811292,Unwrought Ga/Ge,Gallium/Germanium,Intermediary,1.293664438454384,1.6426513735639463,-0.007221059161285833,0.14115756733479645,10
811299,Wrought Ga/Ge,Gallium/Germanium,Adversary,3.4022183106421515,0.7717806253473161,-0.6807538179503404,0.08403483430912245,17
811299,Wrought Ga/Ge,Gallium/Germanium,Intermediary,13.155322726259167,4.06070966088605,-0.6521117968865852,0.10748651946077158,16
850511,Rare Earths (Magnet),Rare Earths,Adversary,0.27337962058663784,0.05091445061059948,-0.33316975142989885,0.08936459272996516,18
850511,Rare Earths (Magnet),Rare Earths,Intermediary,0.31947850901657016,0.05184560990946173,-0.5647984053771934,0.06557655033080208,21
